,batting_team,bowling_team,city,current_score,balls_left,wickets_left,crr,last_five,runs_x
45295,England,Pakistan,Dubai,140,16,5,8.076923076923077,36.0,172
3044,Pakistan,West Indies,Trinidad,64,64,8,6.857142857142857,37.0,137
49421,England,West Indies,Kolkata,136,15,2,7.771428571428571,39.0,155
31435,New Zealand,Bangladesh,Pallekele,102,46,9,8.27027027027027,54.0,191
26264,Australia,England,Barbados,48,59,6,4.721311475409836,24.0,147
31073,England,Pakistan,Abu Dhabi,86,30,6,5.733333333333333,24.0,129
44481,South Africa,Australia,Johannesburg,62,83,9,10.054054054054054,53.0,204
32783,West Indies,Sri Lanka,Pallekele,55,57,8,5.238095238095238,35.0,129
29223,South Africa,Australia,Cape Town,83,36,7,5.928571428571429,27.0,146
28320,Pakistan,New Zealand,Auckland,67,67,5,7.584905660377358,30.0,143
22678,England,South Africa,Johannesburg,83,61,7,8.440677966101696,38.0,202
37829,South Africa,Australia,Durban,47,89,9,9.096774193548388,47.0,80
17604,India,South Africa,Durban,71,48,6,5.916666666666667,34.0,153
15282,West Indies,England,London,207,1,2,10.436974789915967,54.0,208
27910,New Zealand,Sri Lanka,Lauderhill,118,0,3,5.9,33.0,120
49732,Bangladesh,Sri Lanka,Mirpur,61,57,7,5.809523809523809,29.0,147
25030,New Zealand,Pakistan,Barbados,76,46,6,6.162162162162162,28.0,133
36841,India,Pakistan,Bangalore,34,90,10,6.8,34.0,133
2443,New Zealand,Australia,Auckland,100,47,4,8.219178082191782,31.0,150
12638,Sri Lanka,Pakistan,Lahore,131,34,8,9.13953488372093,55.0,182
26621,New Zealand,Australia,Christchurch,90,51,6,7.826086956521739,28.0,214
31724,West Indies,Australia,Colombo,179,5,4,9.339130434782609,54.0,191
6521,South Africa,Pakistan,Cape Town,93,56,9,8.71875,48.0,192
18009,India,Pakistan,Johannesburg,121,17,6,7.048543689320389,30.0,157
3602,Sri Lanka,India,Colombo,56,87,8,10.181818181818182,54.0,170
3957,Pakistan,New Zealand,Wellington,53,38,4,3.8780487804878048,15.0,105
228,Australia,Sri Lanka,Adelaide,161,20,8,9.66,56.0,187
41985,South Africa,West Indies,Johannesburg,96,69,8,11.294117647058824,62.0,231
36592,Sri Lanka,Australia,Melbourne,135,8,6,7.232142857142857,45.0,161
46472,South Africa,Sri Lanka,Centurion,70,79,7,10.24390243902439,46.0,126
3927,Pakistan,New Zealand,Wellington,38,67,6,4.30188679245283,23.0,105
4024,Pakistan,New Zealand,Auckland,44,90,10,8.8,44.0,201
34760,West Indies,New Zealand,Lauderhill,203,3,8,10.41025641025641,71.0,209
6537,South Africa,Pakistan,Cape Town,133,40,9,9.975,63.0,192
30046,New Zealand,South Africa,Hamilton,53,78,9,7.571428571428571,34.0,173
1609,Pakistan,West Indies,Dubai,155,3,6,7.948717948717949,49.0,160
45961,Pakistan,New Zealand,Hamilton,31,86,9,5.470588235294118,24.0,168
20673,Sri Lanka,Pakistan,London,47,96,10,11.75,45.0,150
32888,South Africa,Australia,Colombo,49,74,7,6.391304347826087,33.0,146
41745,Bangladesh,Sri Lanka,Chittagong,58,61,5,5.898305084745763,20.0,120
13231,Australia,India,Sydney,72,67,9,8.150943396226415,44.0,186
15006,Sri Lanka,New Zealand,Auckland,71,35,2,5.011764705882353,19.0,115
7494,Bangladesh,West Indies,St Kitts,44,83,6,7.135135135135135,37.0,143
